Country/Region;Lat;Long;Anzahl der Datensätze;Date;Deaths;Province/State
Albania;41.1533;20.1683;1;04.02.2020;0;
Albania;41.1533;20.1683;1;05.02.2020;0;
Albania;41.1533;20.1683;1;06.02.2020;0;
Albania;41.1533;20.1683;1;07.02.2020;0;
Albania;41.1533;20.1683;1;08.02.2020;0;
Albania;41.1533;20.1683;1;09.02.2020;0;
Albania;41.1533;20.1683;1;01.03.2020;0;
Albania;41.1533;20.1683;1;10.03.2020;0;
Albania;41.1533;20.1683;1;11.03.2020;1;
Albania;41.1533;20.1683;1;12.03.2020;1;
Albania;41.1533;20.1683;1;13.03.2020;1;
Albania;41.1533;20.1683;1;14.03.2020;1;
Albania;41.1533;20.1683;1;15.03.2020;1;
Albania;41.1533;20.1683;1;16.03.2020;1;
Albania;41.1533;20.1683;1;17.03.2020;1;
Albania;41.1533;20.1683;1;18.03.2020;2;
Albania;41.1533;20.1683;1;19.03.2020;2;
Albania;41.1533;20.1683;1;02.03.2020;0;
Albania;41.1533;20.1683;1;20.03.2020;2;
Albania;41.1533;20.1683;1;21.03.2020;2;
Albania;41.1533;20.1683;1;22.03.2020;2;
Albania;41.1533;20.1683;1;23.03.2020;4;
Albania;41.1533;20.1683;1;24.03.2020;5;
Albania;41.1533;20.1683;1;25.03.2020;5;
Albania;41.1533;20.1683;1;26.03.2020;6;
Albania;41.1533;20.1683;1;27.03.2020;8;
Albania;41.1533;20.1683;1;28.03.2020;10;
Albania;41.1533;20.1683;1;29.03.2020;10;
Albania;41.1533;20.1683;1;03.03.2020;0;
Albania;41.1533;20.1683;1;30.03.2020;11;
Albania;41.1533;20.1683;1;31.03.2020;15;
Albania;41.1533;20.1683;1;04.03.2020;0;
Albania;41.1533;20.1683;1;05.03.2020;0;
Albania;41.1533;20.1683;1;06.03.2020;0;
Albania;41.1533;20.1683;1;07.03.2020;0;
Albania;41.1533;20.1683;1;08.03.2020;0;
Albania;41.1533;20.1683;1;09.03.2020;0;
Algeria;28.0339;1.6596;1;22.01.2020;0;
Algeria;28.0339;1.6596;1;23.01.2020;0;
Algeria;28.0339;1.6596;1;24.01.2020;0;
Algeria;28.0339;1.6596;1;25.01.2020;0;
Algeria;28.0339;1.6596;1;26.01.2020;0;
Algeria;28.0339;1.6596;1;27.01.2020;0;
Algeria;28.0339;1.6596;1;28.01.2020;0;
Algeria;28.0339;1.6596;1;29.01.2020;0;
Algeria;28.0339;1.6596;1;30.01.2020;0;
Algeria;28.0339;1.6596;1;31.01.2020;0;
Algeria;28.0339;1.6596;1;01.02.2020;0;
Algeria;28.0339;1.6596;1;10.02.2020;0;
Algeria;28.0339;1.6596;1;11.02.2020;0;
Algeria;28.0339;1.6596;1;12.02.2020;0;
Algeria;28.0339;1.6596;1;13.02.2020;0;
Algeria;28.0339;1.6596;1;14.02.2020;0;
Algeria;28.0339;1.6596;1;15.02.2020;0;
Algeria;28.0339;1.6596;1;16.02.2020;0;
Algeria;28.0339;1.6596;1;17.02.2020;0;
Algeria;28.0339;1.6596;1;18.02.2020;0;
Algeria;28.0339;1.6596;1;19.02.2020;0;
Algeria;28.0339;1.6596;1;02.02.2020;0;
Algeria;28.0339;1.6596;1;20.02.2020;0;
Algeria;28.0339;1.6596;1;21.02.2020;0;
Algeria;28.0339;1.6596;1;22.02.2020;0;
Algeria;28.0339;1.6596;1;23.02.2020;0;
Algeria;28.0339;1.6596;1;24.02.2020;0;
Algeria;28.0339;1.6596;1;25.02.2020;0;
Algeria;28.0339;1.6596;1;26.02.2020;0;
Algeria;28.0339;1.6596;1;27.02.2020;0;
Algeria;28.0339;1.6596;1;28.02.2020;0;
Algeria;28.0339;1.6596;1;29.02.2020;0;
Algeria;28.0339;1.6596;1;03.02.2020;0;
Algeria;28.0339;1.6596;1;04.02.2020;0;
Algeria;28.0339;1.6596;1;05.02.2020;0;
Algeria;28.0339;1.6596;1;06.02.2020;0;
Algeria;28.0339;1.6596;1;07.02.2020;0;
Algeria;28.0339;1.6596;1;08.02.2020;0;
Algeria;28.0339;1.6596;1;09.02.2020;0;
Algeria;28.0339;1.6596;1;01.03.2020;0;
Algeria;28.0339;1.6596;1;10.03.2020;0;
